Origin,Destination,DistanceKM,DurationHours
ATL,ORD,975,1.22
ORD,ATL,975,1.24
DEN,DFW,1031,1.29
DFW,DEN,1031,1.31
ATL,DFW,1177,1.47
DFW,ATL,1177,1.47
JFK,ORD,1191,1.49
ORD,JFK,1191,1.5
ATL,JFK,1222,1.53
JFK,ATL,1222,1.54
DFW,ORD,1290,1.6
ORD,DFW,1290,1.61
DEN,LAX,1386,1.7
LAX,DEN,1386,1.7
ORD,DEN,1430,1.79
ATL,DEN,1949,2.4
DEN,ATL,1949,2.41
DFW,LAX,1987,2.48
LAX,DFW,1987,2.48
DFW,JFK,2239,2.8
JFK,DFW,2239,2.81
DEN,JFK,2616,3.27
JFK,DEN,2616,3.27
LAX,ORD,2807,3.5
ORD,LAX,2807,3.51
ATL,LAX,3132,3.9
LAX,ATL,3132,4
JFK,LAX,3983,5
LAX,JFK,3983,5.01
